equipe,gols,cartao_amarelo,cartao_vermelho,posse_de_bola,passes_certos,disputa_aerea,colocacao_final
1. Flamengo,68,88,3,57.6,86.4,15.4,1
2. Atletico MG,64,62,3,58.0,86.1,13.5,3
3. Internacional,61,89,9,49.5,80.8,17.2,2
4. Gremio,53,69,8,51.8,85.2,15.2,6
5. Red Bull Bragantino,50,74,4,49.4,81.2,14.1,10
6. Sao Paulo,59,90,2,55.6,86.0,15,4
7. Fluminense,54,83,4,49.5,82.5,15.4,5
8. Palmeiras,51,89,5,51.9,83.5,14.4,7
9. Corinthians,45,81,8,49.6,81.1,18,12
10. Ceara,54,85,6,44.9,79.2,16.7,11
11. Athletico Paranaense,38,79,3,52.9,84.8,13.3,9
12. Goias,41,108,4,44.7,77.4,18.8,18
13. Santos FC,52,80,5,50.8,81.6,12.4,8
14. Bahia,48,82,6,47.5,82.0,15.4,14
15. Fortaleza,34,77,8,49.8,83.5,17.2,16
16. Atletico GO,40,79,5,47.9,79.6,15.3,13
17. Vasco da Gama,37,83,6,48.0,82.2,13,17
18. Botafogo RJ,32,67,6,46.7,82.8,14.4,20
19. Coritiba,31,79,8,47.5,82.0,14.4,19
20. Sport Recife,31,90,4,46.3,79.2,15.2,15
